Front,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
Eggs Sonesta,"$26 — mains | shrimp, pepper, onion, pepperjack, andouille cream, rice pilaf",$37 — mains | lemon caper beurre blanc,$12 — desserts | ask about seasonal flavors,"$21 — brunch | 2 english muffins, fried fish of the day, poached eggs, hollandaise","$21 — brunch | 2 english muffins, fried fish of the day, poached eggs, hollandaise"
Pain Perdu,$6 — a_la_carte,"$12 — cocktails | vodka, amaretto, sweet and sour",$12 — desserts | add strawberry +1,"$16 — brunch | house made sourdough french toast, canadian bacon, maple syrup","$16 — brunch | house made sourdough french toast, canadian bacon, maple syrup"
Ham & Cheese Omelet,"Cape Cod, MA (oyster)","$11 — brunch_cocktails | ruby red vodka, grapefruit bitters, pink himalayan salt, grapefruit","$17 — brunch | three-egg omelet, sautéed ham and cheese",$8 — a_la_carte,"$17 — brunch | three-egg omelet, sautéed ham and cheese"
Bloody Mary,"Aransas Bay, TX (oyster)",$8 — beer_draught,$8 — beer_bottle,"$12 — brunch_cocktails | vodka, house made bloody mary mix","$12 — brunch_cocktails | vodka, house made bloody mary mix"
Salty Dog,"$12 — cocktails | rum, pineapple, coconut, ice cream","$16 — brunch | house made sourdough french toast, canadian bacon, maple syrup","$11 — desserts | graham cracker crust, raspberry sauce","$11 — brunch_cocktails | ruby red vodka, grapefruit bitters, pink himalayan salt, grapefruit","$11 — brunch_cocktails | ruby red vodka, grapefruit bitters, pink himalayan salt, grapefruit"
Pear Martini,$6 — beer_draught,"$32 — mains | sautéed spinach, bacon, parmesan, garlic cream","$12 — brunch_cocktails | vodka, amaretto, cherry",$7 — beer_draught,"$12 — brunch_cocktails | vodka, amaretto, cherry"
Cucumber Martini,"$12 — brunch_cocktails | vodka, cucumber, lime","$11 — appetizers | cornmeal-dusted, remoulade","$48 — mains | olive, tomato, onion, jalapeño, caper",$6 — beer_bottle,"$12 — brunch_cocktails | vodka, cucumber, lime"
Hugo Spritz,"$16 — brunch | 2 english muffins, poached eggs, canadian bacon, homemade hollandaise","$14 — brunch_cocktails | st germain, prosecco, mint",$85 — for_the_table | a little bit of everything,"$12 — brunch_cocktails | vodka, house made bloody mary mix","$14 — brunch_cocktails | st germain, prosecco, mint"
Aperol Spritz,New Brunswick (oyster),"Port Aransas, TX (oyster)","$13 — brunch_cocktails | orange liqueur, prosecco, soda","$23 — sandwiches | saltine-crusted crab cake, avocado, remoulade, central kitchen bun","$13 — brunch_cocktails | orange liqueur, prosecco, soda"
French 75,"$20 — mains | creole spices, tomato, green onion","$14 — brunch_cocktails | cognac, champagne, lemon","$12 — for_the_table | jumbo gulf browns, house seasonings, red sauce","$16 — appetizers | panko breadcrumbs, tartar sauce","$14 — brunch_cocktails | cognac, champagne, lemon"
Mimosa Flight,"$16 — soups_salads | chopped romaine, homemade caesar","$16 — sushi | shrimp, salmon, escolar, cream cheese, mango, topped avocado, spicy mayo, crunchies",$22 — brunch_cocktails | house specialty,$85 — for_the_table | a little bit of everything,$22 — brunch_cocktails | house specialty
Avocado Roll,"$8 — sushi | avocado, cream cheese, cucumber","$15 — sushi | soft shell crab, carrot, green leaf, cucumber, avocado, eel sauce","$25 — mains | gulf shrimp, jalapeño-cheese, hot honey drizzle, rice pilaf","$13 — brunch_cocktails | orange liqueur, prosecco, soda","$8 — sushi | avocado, cream cheese, cucumber"
Tempura Shrimp Roll,$5 — beer_bottle,"$16 — brunch | 2 english muffins, poached eggs, canadian bacon, homemade hollandaise","$18 — soups_salads | boiled gulf shrimp, lemon mustard dressing","$9 — sushi | tempura shrimp, cucumber, avocado, crunchies","$9 — sushi | tempura shrimp, cucumber, avocado, crunchies"
Spicy Tuna Roll,"$19 — soups_salads | corn, black beans, tortilla strips, honey chipotle vinaigrette","$10 — sushi | spicy tuna mix, cucumber, spicy mayo","$22 — sushi | blackened tuna, carrots, cucumber, avocado, topped with tempura fried oysters, spicy mayo, green onion",$6 — beer_draught,"$10 — sushi | spicy tuna mix, cucumber, spicy mayo"
Tuna Roll,"$48 — mains | olive, tomato, onion, jalapeño, caper","$12 — sushi | yellowfin tuna, toasted sesame seeds, futomaki style","$32 — mains | sautéed spinach, bacon, parmesan, garlic cream","$13 — sushi | shrimp, mango, cucumber, roasted red bell pepper, toasted coconut, cilantro","$12 — sushi | yellowfin tuna, toasted sesame seeds, futomaki style"
Spicy Salmon Roll,"$12 — cocktails | vodka, amaretto, sweet and sour","Cape Cod, MA (oyster)","$14 — cocktails | vodka, kahlua, cold brew","$12 — sushi | salmon, cucumber, shichimi togarashi, spicy mayo, sriracha","$12 — sushi | salmon, cucumber, shichimi togarashi, spicy mayo, sriracha"
Padre Island Roll,"$13 — sushi | shrimp, mango, cucumber, roasted red bell pepper, toasted coconut, cilantro",$6 — beer_draught,"$22 — sushi | blackened tuna, carrots, cucumber, avocado, topped with tempura fried oysters, spicy mayo, green onion","$23 — sandwiches | saltine-crusted crab cake, avocado, remoulade, central kitchen bun","$13 — sushi | shrimp, mango, cucumber, roasted red bell pepper, toasted coconut, cilantro"
Lucky Roll,"$27 — appetizers | saltine-crusted, remoulade","$17 — sushi | california roll topped with tuna, hamachi, avocado","$14 — sushi | shrimp, salmon, avocado, cilantro, jalapeño, spicy mayo, eel sauce","$21 — brunch | 2 english muffins, fried fish of the day, poached eggs, hollandaise","$14 — sushi | shrimp, salmon, avocado, cilantro, jalapeño, spicy mayo, eel sauce"
Spider Roll,"$15 — sushi | soft shell crab, carrot, green leaf, cucumber, avocado, eel sauce","$18 — appetizers | picayune, lemon",$7 — beer_bottle,"$48 — mains | olive, tomato, onion, jalapeño, caper","$15 — sushi | soft shell crab, carrot, green leaf, cucumber, avocado, eel sauce"
Tidal Wave Roll,$5 — beer_bottle,"$20 — brunch | 2 english muffins, lump blue crab cakes, poached eggs, homemade hollandaise","$16 — sushi | shrimp, salmon, escolar, cream cheese, mango, topped avocado, spicy mayo, crunchies",$7 — beer_draught,"$16 — sushi | shrimp, salmon, escolar, cream cheese, mango, topped avocado, spicy mayo, crunchies"
Rainbow Roll,$13 — appetizers | served warm with tortilla chips,"$17 — sushi | california roll topped with tuna, hamachi, avocado","$14 — brunch_cocktails | cognac, champagne, lemon","$28 — mains | shrimp, chicken, sausage, crawfish, andouille cream","$17 — sushi | california roll topped with tuna, hamachi, avocado"
Dragon Roll,"$10 — soups_salads | shrimp, fish, oysters, okra","$17 — sushi | california roll, cream cheese, eel, avocado, eel sauce","$14 — sushi | shrimp, salmon, avocado, cilantro, jalapeño, spicy mayo, eel sauce",$6 — beer_bottle,"$17 — sushi | california roll, cream cheese, eel, avocado, eel sauce"
Red Dragon Roll,"$16 — sandwiches | cheddar, applewood bacon, central kitchen bun","$18 — sushi | spicy tuna mix, cucumber, jalapeño, yellowfin tuna, avocado",$7 — beer_bottle,$6 — beer_bottle,"$18 — sushi | spicy tuna mix, cucumber, jalapeño, yellowfin tuna, avocado"
Black Pearl Roll,"$22 — sushi | blackened tuna, carrots, cucumber, avocado, topped with tempura fried oysters, spicy mayo, green onion",$6 — a_la_carte,"$15 — cocktails | reserve bourbon, orange bitters",$8 — beer_draught,"$22 — sushi | blackened tuna, carrots, cucumber, avocado, topped with tempura fried oysters, spicy mayo, green onion"
Raw Gulf Oysters (half dozen),"Rockport, TX (oyster)",$6 — a_la_carte,"$18 — appetizers | gulf shrimp, sweet & spicy butter",$18 — oysters_raw,$18 — oysters_raw
Raw Gulf Oysters (dozen),$12 — desserts | ask about seasonal flavors,"$13 — sushi | shrimp, mango, cucumber, roasted red bell pepper, toasted coconut, cilantro",$36 — oysters_raw,"$23 — sandwiches | saltine-crusted crab cake, avocado, remoulade, central kitchen bun",$36 — oysters_raw
Oysters Rockefeller,"$12 — for_the_table | olives, cilantro, avocado, red sauce, fried saltines",$7 — beer_draught,"$23 — oysters_prepared | sauteed greens, bacon, bubbly parmesan cheese","$13 — brunch_cocktails | orange liqueur, prosecco, soda","$23 — oysters_prepared | sauteed greens, bacon, bubbly parmesan cheese"
Wood Fired Oysters,"$16 — sandwiches | cheddar, applewood bacon, central kitchen bun","$20 — oysters_prepared | smoky paprika butter, fried saltines",$8 — beer_draught,$12 — desserts | ask about seasonal flavors,"$20 — oysters_prepared | smoky paprika butter, fried saltines"
Broiled Oysters Bleu,$5 — beer_bottle,New Brunswick (oyster),"$22 — oysters_prepared | green onion vinaigrette, bleu cheese crumbles","$32 — mains | sautéed spinach, bacon, parmesan, garlic cream","$22 — oysters_prepared | green onion vinaigrette, bleu cheese crumbles"
Smoked Fish Dip,$6 — beer_bottle,"$18 — for_the_table | smoked trout, pickles, toast points, crackers",$6 — beer_bottle,"$6 — soups_salads | wedge, spring, or caesar","$18 — for_the_table | smoked trout, pickles, toast points, crackers"
U-Peel Em Shrimp 1/4 lb,"$12 — for_the_table | jumbo gulf browns, house seasonings, red sauce","$12 — brunch_cocktails | vodka, cucumber, lime","$16 — brunch | 2 english muffins, poached eggs, canadian bacon, homemade hollandaise",$7 — beer_draught,"$12 — for_the_table | jumbo gulf browns, house seasonings, red sauce"
U-Peel Em Shrimp 1/2 lb,"$6 — soups_salads | wedge, spring, or caesar","$21 — for_the_table | jumbo gulf browns, house seasonings, red sauce","$28 — mains | shrimp, chicken, sausage, crawfish, andouille cream","$12 — sushi | yellowfin tuna, toasted sesame seeds, futomaki style","$21 — for_the_table | jumbo gulf browns, house seasonings, red sauce"
Classic Shrimp Cocktail,"$21 — for_the_table | jumbo gulf browns, house seasonings, red sauce","$16 — sushi | shrimp, salmon, escolar, cream cheese, mango, topped avocado, spicy mayo, crunchies","$6 — soups_salads | wedge, spring, or caesar","$18 — for_the_table | gulf boiled shrimp, red sauce, horseradish","$18 — for_the_table | gulf boiled shrimp, red sauce, horseradish"
Shrimp Campechana,"$12 — for_the_table | olives, cilantro, avocado, red sauce, fried saltines","$12 — cocktails | vodka, house made bloody mary mix",$7 — beer_draught,"$6 — soups_salads | wedge, spring, or caesar","$12 — for_the_table | olives, cilantro, avocado, red sauce, fried saltines"
Waterstreet Tower,"$32 — mains | sautéed spinach, bacon, parmesan, garlic cream",$85 — for_the_table | a little bit of everything,"$16 — appetizers | fried peppers, veggies, lemon, remoulade","$15 — cocktails | reserve bourbon, orange bitters",$85 — for_the_table | a little bit of everything
Shrimp Picayune,$6 — beer_bottle,"$11 — appetizers | cornmeal-dusted, remoulade","Aransas Bay, TX (oyster)","$18 — appetizers | gulf shrimp, sweet & spicy butter","$18 — appetizers | gulf shrimp, sweet & spicy butter"
Blue Crab Mushrooms,$6 — a_la_carte,$36 — oysters_raw,"$18 — appetizers | picayune, lemon",Prince Edward Island (oyster),"$18 — appetizers | picayune, lemon"
Spinach Artichoke Dip,"$12 — sushi | salmon, cucumber, shichimi togarashi, spicy mayo, sriracha",$13 — appetizers | served warm with tortilla chips,Daily 3-6 PM: 1/2 price oysters on the half shell | 1/2 price sushi rolls | 1/2 price white wine | $7 house martinis | $5 draught beer,"$61 — mains | 12 oz ribeye, bacon wrapped shrimp skewer, loaded baked potato",$13 — appetizers | served warm with tortilla chips
Shrimp Enbrochette,"$21 — brunch | 2 english muffins, fried fish of the day, poached eggs, hollandaise","$28 — appetizers | oyster, bacon, tartar",$6 — a_la_carte,$6 — beer_bottle,"$28 — appetizers | oyster, bacon, tartar"
Creole Hushpuppies,"$9 — appetizers | cornmeal, buttermilk, green onion",$6 — beer_bottle,"$32 — mains | sautéed spinach, bacon, parmesan, garlic cream","$12 — for_the_table | jumbo gulf browns, house seasonings, red sauce","$9 — appetizers | cornmeal, buttermilk, green onion"
Fried Crawfish Tails,"$13 — appetizers | beer-battered, remoulade","$18 — appetizers | gulf shrimp, sweet & spicy butter","$21 — brunch | 2 english muffins, fried fish of the day, poached eggs, hollandaise",$7 — beer_bottle,"$13 — appetizers | beer-battered, remoulade"
Crispy Calamari,"$12 — cocktails | rum, pineapple, coconut, ice cream","$35 — mains | 5oz catch of the day, shrimp harpoon, crab cake, remoulade","$16 — appetizers | fried peppers, veggies, lemon, remoulade","$11 — appetizers | cornmeal-dusted, remoulade","$16 — appetizers | fried peppers, veggies, lemon, remoulade"
Crab Cakes,"$13 — appetizers | beer-battered, remoulade","$21 — for_the_table | jumbo gulf browns, house seasonings, red sauce","$10 — sushi | spicy tuna mix, cucumber, spicy mayo","$27 — appetizers | saltine-crusted, remoulade","$27 — appetizers | saltine-crusted, remoulade"
Pecan Crusted Oysters,$7 — beer_draught,"$16 — appetizers | panko breadcrumbs, tartar sauce",$5 — beer_bottle,"$12 — cocktails | vodka, house made bloody mary mix","$16 — appetizers | panko breadcrumbs, tartar sauce"
Southern Fried Okra,Prince Edward Island (oyster),"$11 — appetizers | cornmeal-dusted, remoulade","$16 — sandwiches | cheddar, applewood bacon, central kitchen bun","$16 — appetizers | panko breadcrumbs, tartar sauce","$11 — appetizers | cornmeal-dusted, remoulade"
Starter Salads,"$12 — brunch_cocktails | vodka, house made bloody mary mix",$6 — beer_bottle,"$35 — mains | 5oz catch of the day, shrimp harpoon, crab cake, remoulade","$6 — soups_salads | wedge, spring, or caesar","$6 — soups_salads | wedge, spring, or caesar"
Caldo Xochitl,"$14 — cocktails | vodka, kahlua, cold brew","$10 — soups_salads | shrimp, fish, oysters, okra",$12 — desserts | ask about seasonal flavors,"$9 — soups_salads | chicken breast, lime, avocado, homemade broth","$9 — soups_salads | chicken breast, lime, avocado, homemade broth"
Seafood Gumbo,"$10 — soups_salads | shrimp, fish, oysters, okra","$24 — mains | sautéed spinach, bacon, parmesan, garlic cream, rice pilaf","$9 — sushi | tempura shrimp, cucumber, avocado, crunchies","$18 — sushi | spicy tuna mix, cucumber, jalapeño, yellowfin tuna, avocado","$10 — soups_salads | shrimp, fish, oysters, okra"
Barbecue Salmon Salad,"$24 — mains | sautéed spinach, bacon, parmesan, garlic cream, rice pilaf","$19 — soups_salads | corn, black beans, tortilla strips, honey chipotle vinaigrette",$36 — oysters_raw,"$20 — oysters_prepared | smoky paprika butter, fried saltines","$19 — soups_salads | corn, black beans, tortilla strips, honey chipotle vinaigrette"
Deluxe Water St. Wedge,"$13 — cocktails | rum, blue curacao, pineapple",$6 — beer_draught,"$16 — soups_salads | grilled chicken, tomato, bacon, bleu cheese",$6 — beer_bottle,"$16 — soups_salads | grilled chicken, tomato, bacon, bleu cheese"
Gulf Shrimp Salad,"$18 — soups_salads | boiled gulf shrimp, lemon mustard dressing","$48 — mains | olive, tomato, onion, jalapeño, caper","$28 — appetizers | oyster, bacon, tartar","$16 — sandwiches | cheddar, applewood bacon, central kitchen bun","$18 — soups_salads | boiled gulf shrimp, lemon mustard dressing"
Grilled Chicken Caesar,"$16 — soups_salads | chopped romaine, homemade caesar",$8 — beer_draught,$7 — beer_bottle,$6 — beer_draught,"$16 — soups_salads | chopped romaine, homemade caesar"
Fried Seafood Platter,$21 — mains | 1/2 pound fried gulf shrimp or cornmeal oysters and shrimp,"$20 — oysters_prepared | smoky paprika butter, fried saltines",$12 — desserts | add strawberry +1,$6 — beer_draught,$21 — mains | 1/2 pound fried gulf shrimp or cornmeal oysters and shrimp
Bacon Wrapped Stuffed Shrimp,"$10 — sushi | spicy tuna mix, cucumber, spicy mayo","$25 — mains | gulf shrimp, jalapeño-cheese, hot honey drizzle, rice pilaf","$12 — cocktails | vodka, house made bloody mary mix","$23 — oysters_prepared | sauteed greens, bacon, bubbly parmesan cheese","$25 — mains | gulf shrimp, jalapeño-cheese, hot honey drizzle, rice pilaf"
Mesquite Grilled Sampler,"$35 — mains | 5oz catch of the day, shrimp harpoon, crab cake, remoulade","$11 — desserts | graham cracker crust, raspberry sauce","$9 — cocktails | reposado, lime, add strawberry +2",$6 — beer_bottle,"$35 — mains | 5oz catch of the day, shrimp harpoon, crab cake, remoulade"
Seafood Pasta Jambalaya,"$19 — sandwiches | smoked bacon, avocado, honey mustard, pepperjack, central kitchen bun","$28 — mains | shrimp, chicken, sausage, crawfish, andouille cream","$9 — soups_salads | chicken breast, lime, avocado, homemade broth","$23 — oysters_prepared | sauteed greens, bacon, bubbly parmesan cheese","$28 — mains | shrimp, chicken, sausage, crawfish, andouille cream"
Blackened Snapper Veracruz,"$48 — mains | olive, tomato, onion, jalapeño, caper","$14 — sushi | shrimp, salmon, avocado, cilantro, jalapeño, spicy mayo, eel sauce","$16 — appetizers | fried peppers, veggies, lemon, remoulade","$12 — for_the_table | jumbo gulf browns, house seasonings, red sauce","$48 — mains | olive, tomato, onion, jalapeño, caper"
Salmon Rockefeller,"$16 — brunch | house made sourdough french toast, canadian bacon, maple syrup",$6 — beer_draught,$6 — beer_bottle,"$32 — mains | sautéed spinach, bacon, parmesan, garlic cream","$32 — mains | sautéed spinach, bacon, parmesan, garlic cream"
Pecan Crusted Drum,"$12 — sushi | salmon, cucumber, shichimi togarashi, spicy mayo, sriracha",$37 — mains | lemon caper beurre blanc,"$16 — soups_salads | grilled chicken, tomato, bacon, bleu cheese","$9 — cocktails | reposado, lime, add strawberry +2",$37 — mains | lemon caper beurre blanc
Blackened Stuffed Redfish,"$11 — appetizers | cornmeal-dusted, remoulade","$45 — mains | crab, crawfish nueces","$18 — sushi | spicy tuna mix, cucumber, jalapeño, yellowfin tuna, avocado","$16 — soups_salads | grilled chicken, tomato, bacon, bleu cheese","$45 — mains | crab, crawfish nueces"
Chicken Rockefeller,$5 — beer_bottle,$7 — a_la_carte,"$22 — sushi | blackened tuna, carrots, cucumber, avocado, topped with tempura fried oysters, spicy mayo, green onion","$24 — mains | sautéed spinach, bacon, parmesan, garlic cream, rice pilaf","$24 — mains | sautéed spinach, bacon, parmesan, garlic cream, rice pilaf"
Blackened Chicken Alfredo,$37 — mains | lemon caper beurre blanc,"$20 — mains | creole spices, tomato, green onion","$16 — brunch | house made sourdough french toast, canadian bacon, maple syrup",$6 — beer_draught,"$20 — mains | creole spices, tomato, green onion"
Crawfish Stuffed Chicken,"$26 — mains | shrimp, pepper, onion, pepperjack, andouille cream, rice pilaf","$12 — cocktails | vodka, amaretto, sweet and sour","$10 — sushi | spicy tuna mix, cucumber, spicy mayo","$16 — brunch | house made sourdough french toast, canadian bacon, maple syrup","$26 — mains | shrimp, pepper, onion, pepperjack, andouille cream, rice pilaf"
Surf and Turf,"$16 — sandwiches | cheddar, applewood bacon, central kitchen bun","$8 — sushi | avocado, cream cheese, cucumber","$61 — mains | 12 oz ribeye, bacon wrapped shrimp skewer, loaded baked potato",$21 — mains | 1/2 pound fried gulf shrimp or cornmeal oysters and shrimp,"$61 — mains | 12 oz ribeye, bacon wrapped shrimp skewer, loaded baked potato"
Bacon Cheeseburger,$8 — beer_draught,"$17 — sushi | california roll topped with tuna, hamachi, avocado","$16 — sandwiches | cheddar, applewood bacon, central kitchen bun",$8 — a_la_carte,"$16 — sandwiches | cheddar, applewood bacon, central kitchen bun"
Water St. Po Boy,$22 — brunch_cocktails | house specialty,"$19 — sandwiches | fried gulf shrimp or oysters, creole tartar","$12 — sushi | yellowfin tuna, toasted sesame seeds, futomaki style",$5 — beer_bottle,"$19 — sandwiches | fried gulf shrimp or oysters, creole tartar"
Wood-Fired Chicken Sandwich,Daily 3-6 PM: 1/2 price oysters on the half shell | 1/2 price sushi rolls | 1/2 price white wine | $7 house martinis | $5 draught beer,"$19 — sandwiches | smoked bacon, avocado, honey mustard, pepperjack, central kitchen bun","$23 — sandwiches | saltine-crusted crab cake, avocado, remoulade, central kitchen bun",$8 — beer_draught,"$19 — sandwiches | smoked bacon, avocado, honey mustard, pepperjack, central kitchen bun"
Crab Cake Burger,"$13 — brunch_cocktails | orange liqueur, prosecco, soda","$9 — desserts | served warm, topped with vanilla ice cream","$16 — sandwiches | cheddar, applewood bacon, central kitchen bun","$23 — sandwiches | saltine-crusted crab cake, avocado, remoulade, central kitchen bun","$23 — sandwiches | saltine-crusted crab cake, avocado, remoulade, central kitchen bun"
Shells & Cheese,"$16 — brunch | house made sourdough french toast, canadian bacon, maple syrup",$8 — a_la_carte,"$18 — appetizers | gulf shrimp, sweet & spicy butter","$12 — brunch_cocktails | vodka, cucumber, lime",$8 — a_la_carte
Seasoned French Fries,$6 — a_la_carte,"$16 — sandwiches | cheddar, applewood bacon, central kitchen bun","$6 — soups_salads | wedge, spring, or caesar",New Brunswick (oyster),$6 — a_la_carte
Sweet Potato Fries,$7 — a_la_carte,"$14 — sushi | shrimp, salmon, avocado, cilantro, jalapeño, spicy mayo, eel sauce",$6 — beer_draught,$5 — beer_bottle,$7 — a_la_carte
Loaded Baked Potato,$6 — beer_draught,$5 — beer_bottle,"$28 — mains | shrimp, chicken, sausage, crawfish, andouille cream",$6 — a_la_carte,$6 — a_la_carte
Seasonal Veggies,$5 — beer_bottle,$8 — beer_bottle,$7 — beer_draught,$6 — a_la_carte,$6 — a_la_carte
Fried Shrimp,$12 — desserts | add strawberry +1,$3 — a_la_carte,"$16 — soups_salads | chopped romaine, homemade caesar","$20 — mains | creole spices, tomato, green onion",$3 — a_la_carte
Brownie a la Mode,Prince Edward Island (oyster),$8 — beer_draught,$12 — desserts | ask about seasonal flavors,"$9 — desserts | served warm, topped with vanilla ice cream","$9 — desserts | served warm, topped with vanilla ice cream"
Key Lime Pie,$5 — beer_bottle,$5 — beer_bottle,"$11 — desserts | graham cracker crust, raspberry sauce","Aransas Bay, TX (oyster)","$11 — desserts | graham cracker crust, raspberry sauce"
New York Cheesecake,"Port Aransas, TX (oyster)",$12 — desserts | add strawberry +1,$7 — beer_draught,"$16 — appetizers | panko breadcrumbs, tartar sauce",$12 — desserts | add strawberry +1
Seasonal Cheesecake,$8 — beer_bottle,"$45 — mains | crab, crawfish nueces",$12 — desserts | ask about seasonal flavors,$6 — beer_draught,$12 — desserts | ask about seasonal flavors
Salty Dog,$8 — beer_draught,$3 — a_la_carte,"$11 — cocktails | ruby red vodka, grapefruit bitters, pink himalayan salt, grapefruit","$9 — soups_salads | chicken breast, lime, avocado, homemade broth","$11 — cocktails | ruby red vodka, grapefruit bitters, pink himalayan salt, grapefruit"
Elevated Margarita,$18 — oysters_raw,$7 — beer_bottle,"$13 — cocktails | anejo tequila, orange liqueur, presidente",$8 — a_la_carte,"$13 — cocktails | anejo tequila, orange liqueur, presidente"
Bloody Mary,"$12 — cocktails | vodka, house made bloody mary mix",$6 — beer_draught,"Port Aransas, TX (oyster)","$61 — mains | 12 oz ribeye, bacon wrapped shrimp skewer, loaded baked potato","$12 — cocktails | vodka, house made bloody mary mix"
Old Fashioned,$7 — beer_draught,"$45 — mains | crab, crawfish nueces",$6 — beer_bottle,"$15 — cocktails | reserve bourbon, orange bitters","$15 — cocktails | reserve bourbon, orange bitters"
Water St. Wave,$6 — beer_draught,Prince Edward Island (oyster),"$13 — cocktails | rum, blue curacao, pineapple",$21 — mains | 1/2 pound fried gulf shrimp or cornmeal oysters and shrimp,"$13 — cocktails | rum, blue curacao, pineapple"
Espresso Martini,"$25 — mains | gulf shrimp, jalapeño-cheese, hot honey drizzle, rice pilaf","$14 — cocktails | vodka, kahlua, cold brew","$17 — brunch | three-egg omelet, sautéed ham and cheese",$6 — beer_bottle,"$14 — cocktails | vodka, kahlua, cold brew"
