Front,Back,Category,Difficulty
Creole Hushpuppies,"$9 — appetizers | cornmeal, buttermilk, green onion",menu,easy
Fried Crawfish Tails,"$13 — appetizers | beer-battered, remoulade",menu,easy
Crispy Calamari,"$16 — appetizers | fried peppers, veggies, lemon, remoulade",menu,medium
Crab Cakes,"$27 — appetizers | saltine-crusted, remoulade",menu,medium
Pecan Crusted Oysters,"$16 — appetizers | panko breadcrumbs, tartar sauce",menu,medium
Southern Fried Okra,"$11 — appetizers | cornmeal-dusted, remoulade",menu,easy
Starter Salads,"$6 — soups_salads | wedge, spring, or caesar",menu,easy
Caldo Xochitl,"$9 — soups_salads | chicken breast, lime, avocado, homemade broth",menu,easy
Seafood Gumbo,"$10 — soups_salads | shrimp, fish, oysters, okra",menu,easy
Barbecue Salmon Salad,"$19 — soups_salads | corn, black beans, tortilla strips, honey chipotle vinaigrette",menu,medium
Deluxe Water St. Wedge,"$16 — soups_salads | grilled chicken, tomato, bacon, bleu cheese",menu,medium
Gulf Shrimp Salad,"$18 — soups_salads | boiled gulf shrimp, lemon mustard dressing",menu,medium
Grilled Chicken Caesar,"$16 — soups_salads | chopped romaine, homemade caesar",menu,medium
Fried Seafood Platter,$21 — mains | 1/2 pound fried gulf shrimp or cornmeal oysters and shrimp,menu,medium
Bacon Wrapped Stuffed Shrimp,"$25 — mains | gulf shrimp, jalapeño-cheese, hot honey drizzle, rice pilaf",menu,medium
Mesquite Grilled Sampler,"$35 — mains | 5oz catch of the day, shrimp harpoon, crab cake, remoulade",menu,hard
Seafood Pasta Jambalaya,"$28 — mains | shrimp, chicken, sausage, crawfish, andouille cream",menu,medium
Blackened Snapper Veracruz,"$48 — mains | olive, tomato, onion, jalapeño, caper",menu,hard
Salmon Rockefeller,"$32 — mains | sautéed spinach, bacon, parmesan, garlic cream",menu,hard
Pecan Crusted Drum,$37 — mains | lemon caper beurre blanc,menu,hard
Blackened Stuffed Redfish,"$45 — mains | crab, crawfish nueces",menu,hard
Chicken Rockefeller,"$24 — mains | sautéed spinach, bacon, parmesan, garlic cream, rice pilaf",menu,medium
Blackened Chicken Alfredo,"$20 — mains | creole spices, tomato, green onion",menu,medium
Crawfish Stuffed Chicken,"$26 — mains | shrimp, pepper, onion, pepperjack, andouille cream, rice pilaf",menu,medium
Surf and Turf,"$61 — mains | 12 oz ribeye, bacon wrapped shrimp skewer, loaded baked potato",menu,hard
Bacon Cheeseburger,"$16 — sandwiches | cheddar, applewood bacon, central kitchen bun",menu,medium
Water St. Po Boy,"$19 — sandwiches | fried gulf shrimp or oysters, creole tartar",menu,medium
Wood-Fired Chicken Sandwich,"$19 — sandwiches | smoked bacon, avocado, honey mustard, pepperjack, central kitchen bun",menu,medium
Crab Cake Burger,"$23 — sandwiches | saltine-crusted crab cake, avocado, remoulade, central kitchen bun",menu,medium
Shells & Cheese,$8 — a_la_carte,menu,easy
Seasoned French Fries,$6 — a_la_carte,menu,easy
Sweet Potato Fries,$7 — a_la_carte,menu,easy
Loaded Baked Potato,$6 — a_la_carte,menu,easy
Seasonal Veggies,$6 — a_la_carte,menu,easy
Fried Shrimp,$3 — a_la_carte,menu,easy
Brownie a la Mode,"$9 — desserts | served warm, topped with vanilla ice cream",menu,easy
Key Lime Pie,"$11 — desserts | graham cracker crust, raspberry sauce",menu,easy
New York Cheesecake,$12 — desserts | add strawberry +1,menu,easy
Seasonal Cheesecake,$12 — desserts | ask about seasonal flavors,menu,easy
Salty Dog,"$11 — cocktails | ruby red vodka, grapefruit bitters, pink himalayan salt, grapefruit",menu,easy
Elevated Margarita,"$13 — cocktails | anejo tequila, orange liqueur, presidente",menu,easy
Bloody Mary,"$12 — cocktails | vodka, house made bloody mary mix",menu,easy
Old Fashioned,"$15 — cocktails | reserve bourbon, orange bitters",menu,medium
Water St. Wave,"$13 — cocktails | rum, blue curacao, pineapple",menu,easy
Espresso Martini,"$14 — cocktails | vodka, kahlua, cold brew",menu,easy
Pear Martini,"$12 — cocktails | vodka, amaretto, sweet and sour",menu,easy
Frozen Margarita,"$9 — cocktails | reposado, lime, add strawberry +2",menu,easy
Pina Colada,"$12 — cocktails | rum, pineapple, coconut, ice cream",menu,easy
Nueces Lager,$8 — beer_draught,menu,easy
Nueces Hefeweizen,$8 — beer_draught,menu,easy
Nueces Supremo,$8 — beer_draught,menu,easy
Rebel Toad IPA,$6 — beer_draught,menu,easy
Rebel Toad Bionic Blonde,$6 — beer_draught,menu,easy
Dos Equis Lager,$7 — beer_draught,menu,easy
Modelo Especial,$7 — beer_draught,menu,easy
St. Arnold Art Car,$8 — beer_draught,menu,easy
Shiner Bock,$7 — beer_draught,menu,easy
Michelob Ultra,$7 — beer_draught,menu,easy
Miller Lite Pilsner,$6 — beer_draught,menu,easy
Dos Equis,$6 — beer_bottle,menu,easy
Michelob Gold,$6 — beer_bottle,menu,easy
Coors Light,$5 — beer_bottle,menu,easy
Bud Light,$5 — beer_bottle,menu,easy
Budweiser,$5 — beer_bottle,menu,easy
Heineken,$7 — beer_bottle,menu,easy
Lonestar,$5 — beer_bottle,menu,easy
Corona Extra,$6 — beer_bottle,menu,easy
Corona Premier,$7 — beer_bottle,menu,easy
Stella Artois,$8 — beer_bottle,menu,easy
Heineken N.A.,$6 — beer_bottle,menu,easy
